DateTime_CST,floorhour,Time_sec,DateTime_UTC,Battery_V,Temp_degC,DO_mgL,DO_sat
2018-12-18T11:00:00Z,2018-12-18T11:00:00Z,1545130800,2018-12-18T17:00:00Z,3.39,3.771,0.161,0.01221063219953082
2018-12-18T12:00:00Z,2018-12-18T12:00:00Z,1545134400,2018-12-18T18:00:00Z,3.39,3.792,0.163,0.01236917817987245
2018-12-18T13:00:00Z,2018-12-18T13:00:00Z,1545138000,2018-12-18T19:00:00Z,3.39,3.854,0.158,0.01200939709928363
2018-12-18T14:00:00Z,2018-12-18T14:00:00Z,1545141600,2018-12-18T20:00:00Z,3.39,3.844,0.155,0.01177826210345057
2018-12-18T15:00:00Z,2018-12-18T15:00:00Z,1545145200,2018-12-18T21:00:00Z,3.39,3.854,0.156,0.01185737941448257
2018-12-18T16:00:00Z,2018-12-18T16:00:00Z,1545148800,2018-12-18T22:00:00Z,3.39,3.834,0.152,0.01154724767154238
2018-12-18T17:00:00Z,2018-12-18T17:00:00Z,1545152400,2018-12-18T23:00:00Z,3.39,3.844,0.15,0.01139831816462959
2018-12-18T18:00:00Z,2018-12-18T18:00:00Z,1545156000,2018-12-19T00:00:00Z,3.39,3.844,0.151,0.01147430695239379
2018-12-18T19:00:00Z,2018-12-18T19:00:00Z,1545159600,2018-12-19T01:00:00Z,3.39,3.792,0.152,0.01153444836405284
2018-12-18T20:00:00Z,2018-12-18T20:00:00Z,1545163200,2018-12-19T02:00:00Z,3.39,3.823,0.151,0.01146794839081117
2018-12-18T21:00:00Z,2018-12-18T21:00:00Z,1545166800,2018-12-19T03:00:00Z,3.39,3.813,0.154,0.01169270075298452
2018-12-18T22:00:00Z,2018-12-18T22:00:00Z,1545170400,2018-12-19T04:00:00Z,3.39,3.834,0.159,0.01207902881431078
2018-12-18T23:00:00Z,2018-12-18T23:00:00Z,1545174000,2018-12-19T05:00:00Z,3.39,3.844,0.158,0.01200622846674317
2018-12-19T00:00:00Z,2018-12-19T00:00:00Z,1545177600,2018-12-19T06:00:00Z,3.39,3.854,0.157,0.0119333882568831
2018-12-19T01:00:00Z,2018-12-19T01:00:00Z,1545181200,2018-12-19T07:00:00Z,3.39,3.865,0.155,0.01178479016553254
2018-12-19T02:00:00Z,2018-12-19T02:00:00Z,1545184800,2018-12-19T08:00:00Z,3.39,3.823,0.156,0.01184768178123539
2018-12-19T03:00:00Z,2018-12-19T03:00:00Z,1545188400,2018-12-19T09:00:00Z,3.39,3.875,0.16,0.01216815395036936
2018-12-19T04:00:00Z,2018-12-19T04:00:00Z,1545192000,2018-12-19T10:00:00Z,3.39,3.854,0.162,0.01231343246888575
2018-12-19T05:00:00Z,2018-12-19T05:00:00Z,1545195600,2018-12-19T11:00:00Z,3.39,3.834,0.161,0.01223096628367318
2018-12-19T06:00:00Z,2018-12-19T06:00:00Z,1545199200,2018-12-19T12:00:00Z,3.39,3.844,0.162,0.01231018361779996
2018-12-19T07:00:00Z,2018-12-19T07:00:00Z,1545202800,2018-12-19T13:00:00Z,3.39,3.865,0.163,0.01239303739988261
2018-12-19T08:00:00Z,2018-12-19T08:00:00Z,1545206400,2018-12-19T14:00:00Z,3.39,3.854,0.159,0.01208540594168416
2018-12-19T09:00:00Z,2018-12-19T09:00:00Z,1545210000,2018-12-19T15:00:00Z,3.39,3.854,0.159,0.01208540594168416
2018-12-19T10:00:00Z,2018-12-19T10:00:00Z,1545213600,2018-12-19T16:00:00Z,3.39,3.865,0.16,0.01216494468700133
2018-12-19T11:00:00Z,2018-12-19T11:00:00Z,1545217200,2018-12-19T17:00:00Z,3.39,3.865,0.162,0.01231700649558885
2018-12-19T12:00:00Z,2018-12-19T12:00:00Z,1545220800,2018-12-19T18:00:00Z,3.39,3.854,0.161,0.01223742362648522
2018-12-19T13:00:00Z,2018-12-19T13:00:00Z,1545224400,2018-12-19T19:00:00Z,3.39,3.823,0.158,0.01199957513740507
2018-12-19T14:00:00Z,2018-12-19T14:00:00Z,1545228000,2018-12-19T20:00:00Z,3.39,3.844,0.16,0.01215820604227156
2018-12-19T15:00:00Z,2018-12-19T15:00:00Z,1545231600,2018-12-19T21:00:00Z,3.39,3.854,0.158,0.01200939709928363
2018-12-19T16:00:00Z,2018-12-19T16:00:00Z,1545235200,2018-12-19T22:00:00Z,3.39,3.865,0.158,0.01201288287841382
2018-12-19T17:00:00Z,2018-12-19T17:00:00Z,1545238800,2018-12-19T23:00:00Z,3.39,3.813,0.159,0.01207233389431518
2018-12-19T18:00:00Z,2018-12-19T18:00:00Z,1545242400,2018-12-20T00:00:00Z,3.39,3.854,0.158,0.01200939709928363
2018-12-19T19:00:00Z,2018-12-19T19:00:00Z,1545246000,2018-12-20T01:00:00Z,3.39,3.886,0.159,0.01209561139905707
2018-12-19T20:00:00Z,2018-12-19T20:00:00Z,1545249600,2018-12-20T02:00:00Z,3.39,3.854,0.156,0.01185737941448257
2018-12-19T21:00:00Z,2018-12-19T21:00:00Z,1545253200,2018-12-20T03:00:00Z,3.39,3.875,0.157,0.01194000106379994
2018-12-19T22:00:00Z,2018-12-19T22:00:00Z,1545256800,2018-12-20T04:00:00Z,3.39,3.854,0.159,0.01208540594168416
2018-12-19T23:00:00Z,2018-12-19T23:00:00Z,1545260400,2018-12-20T05:00:00Z,3.39,3.906,0.158,0.01202587794048562
2018-12-20T00:00:00Z,2018-12-20T00:00:00Z,1545264000,2018-12-20T06:00:00Z,3.39,3.865,0.16,0.01216494468700133
2018-12-20T01:00:00Z,2018-12-20T01:00:00Z,1545267600,2018-12-20T07:00:00Z,3.39,3.865,0.159,0.01208891378270757
2018-12-20T02:00:00Z,2018-12-20T02:00:00Z,1545271200,2018-12-20T08:00:00Z,3.39,3.865,0.157,0.01193685197412006
2018-12-20T03:00:00Z,2018-12-20T03:00:00Z,1545274800,2018-12-20T09:00:00Z,3.39,3.834,0.159,0.01207902881431078
2018-12-20T04:00:00Z,2018-12-20T04:00:00Z,1545278400,2018-12-20T10:00:00Z,3.39,3.865,0.159,0.01208891378270757
2018-12-20T05:00:00Z,2018-12-20T05:00:00Z,1545282000,2018-12-20T11:00:00Z,3.39,3.844,0.159,0.01208221725450737
2018-12-20T06:00:00Z,2018-12-20T06:00:00Z,1545285600,2018-12-20T12:00:00Z,3.39,3.865,0.16,0.01216494468700133
2018-12-20T07:00:00Z,2018-12-20T07:00:00Z,1545289200,2018-12-20T13:00:00Z,3.39,3.844,0.163,0.01238617240556415
